open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710892800000,31.155,31.333,31.125,31.297,4031.0,1710892859999,125929.8857,805,1824.2,56989.9115,0
1710892860000,31.294,31.589,31.254,31.572,4590.3,1710892919999,144308.4955,908,3364.3,105839.9296,0
1710892920000,31.577,31.813,31.561,31.708,7944.9,1710892979999,251934.2426,1238,5939.4,188337.5443,0
1710892980000,31.706,31.752,31.658,31.684,3734.5,1710893039999,118388.4704,843,1938.7,61468.7705,0
1710893040000,31.680,31.680,31.395,31.485,4807.0,1710893099999,151568.6927,1020,1937.0,61084.9141,0
1710893100000,31.480,31.737,31.450,31.732,3639.3,1710893159999,114922.4681,943,2274.1,71878.9963,0
1710893160000,31.731,31.748,31.514,31.524,4446.2,1710893219999,140609.3844,1115,2324.5,73499.2853,0
1710893220000,31.525,31.658,31.490,31.546,1806.8,1710893279999,57056.7050,764,1068.6,33727.1966,0
1710893280000,31.549,31.706,31.529,31.621,1505.4,1710893339999,47609.5479,627,706.4,22338.1006,0
1710893340000,31.614,31.706,31.596,31.620,1437.9,1710893399999,45501.6875,561,432.3,13681.9868,0
1710893400000,31.624,31.762,31.616,31.683,2691.7,1710893459999,85335.0396,709,1206.4,38248.8906,0
1710893460000,31.681,31.681,31.471,31.520,2879.2,1710893519999,90876.3198,586,1445.1,45615.4469,0
1710893520000,31.518,31.724,31.486,31.702,4924.0,1710893579999,155807.8764,797,3666.8,116072.1756,0
1710893580000,31.707,31.825,31.640,31.815,3147.5,1710893639999,99832.8807,662,1517.5,48116.9414,0
1710893640000,31.811,31.871,31.728,31.851,3666.5,1710893699999,116649.6939,1056,1915.6,60954.5291,0
1710893700000,31.851,31.896,31.765,31.770,2463.5,1710893759999,78434.6952,768,1293.8,41190.7718,0
1710893760000,31.765,31.799,31.631,31.756,7340.9,1710893819999,232598.7387,1115,2538.5,80519.3225,0
1710893820000,31.754,31.833,31.691,31.770,3577.1,1710893879999,113589.1702,939,1169.4,37117.0904,0
1710893880000,31.776,32.351,31.767,32.337,5001.9,1710893939999,160512.4167,1519,2564.2,82336.2654,0
1710893940000,32.331,32.331,32.092,32.198,3952.1,1710893999999,127134.7905,1303,1606.9,51682.1513,0
1710894000000,32.197,32.329,32.126,32.301,3540.1,1710894059999,114124.4840,959,1768.8,57039.0070,0
1710894060000,32.313,32.543,32.311,32.448,10369.8,1710894119999,336245.9253,1811,6747.1,218749.8983,0
1710894120000,32.448,32.669,32.379,32.640,7264.2,1710894179999,236376.5590,1871,5336.6,173653.2844,0
1710894180000,32.647,32.734,32.526,32.616,5715.1,1710894239999,186459.3498,1208,2726.4,88979.9800,0
1710894240000,32.611,32.877,32.543,32.795,9361.0,1710894299999,306221.6257,1694,6165.8,201785.9262,0
1710894300000,32.797,32.999,32.769,32.918,6280.5,1710894359999,206545.8928,1376,4958.1,163073.7614,0
1710894360000,32.923,32.992,32.635,32.714,9701.7,1710894419999,318304.4071,1951,5783.3,189854.4485,0
1710894420000,32.727,32.869,32.674,32.813,6276.3,1710894479999,205749.8652,1536,3645.4,119553.8692,0
1710894480000,32.809,33.216,32.808,33.168,7253.5,1710894539999,239647.6419,1799,5269.3,174081.5567,0
1710894540000,33.159,33.159,32.912,33.014,9060.3,1710894599999,299234.2192,1679,4356.7,143932.4811,0
1710894600000,33.013,33.013,32.622,32.655,8854.1,1710894659999,290608.4860,2134,4564.1,149865.6704,0
1710894660000,32.663,32.816,32.659,32.755,6099.3,1710894719999,199672.0698,1932,3260.7,106755.6426,0
1710894720000,32.756,32.808,32.655,32.741,6320.8,1710894779999,206839.1500,1420,2983.9,97690.0503,0
1710894780000,32.745,33.073,32.717,33.036,6341.7,1710894839999,208618.8705,1566,4336.0,142640.8490,0
1710894840000,33.033,33.311,32.948,33.267,8697.3,1710894899999,287944.1062,1960,4586.0,151932.2184,0
1710894900000,33.268,33.350,33.140,33.329,8294.8,1710894959999,275719.5753,1754,4422.9,147031.9333,0
1710894960000,33.330,33.334,33.251,33.294,3941.4,1710895019999,131181.6079,1047,1639.9,54587.6799,0
1710895020000,33.294,33.456,33.274,33.438,6479.2,1710895079999,216221.1600,1705,4154.2,138628.6915,0
